,Date,Open,High,Low,Close
1638,2018-12-04,1.13535,1.1419,1.1317,1.13406
1639,2018-12-03,1.13317,1.13798,1.1318,1.13536
1640,2018-11-30,1.13882,1.14005,1.1304,1.13192
1641,2018-11-29,1.13677,1.14018,1.1347,1.1388
1642,2018-11-28,1.12936,1.13875,1.1265,1.13676
1643,2018-11-27,1.13303,1.13437,1.1276,1.12938
1644,2018-11-26,1.13362,1.13837,1.1322,1.13303
1645,2018-11-23,1.14031,1.14212,1.13262,1.13365
1646,2018-11-22,1.13838,1.14341,1.1382,1.14031
1647,2018-11-21,1.13664,1.14247,1.1363,1.13841
1648,2018-11-20,1.14526,1.14724,1.1356,1.13666
1649,2018-11-19,1.14163,1.1465,1.1393,1.14524
1650,2018-11-16,1.13231,1.14203,1.1318,1.1418
1651,2018-11-15,1.13135,1.13624,1.12698,1.13229
1652,2018-11-14,1.12988,1.13476,1.1262,1.13133
1653,2018-11-13,1.12201,1.12995,1.1218,1.12988
1654,2018-11-12,1.13166,1.13306,1.1214,1.12193
1655,2018-11-09,1.13641,1.1369,1.1315,1.1333
1656,2018-11-08,1.14302,1.14469,1.135,1.13638
1657,2018-11-07,1.14189,1.14997,1.1393,1.143
1658,2018-11-06,1.14081,1.1438,1.139,1.14192
1659,2018-11-05,1.13909,1.1424,1.13529,1.14081
1660,2018-11-02,1.14044,1.14558,1.1371,1.1387
1661,2018-11-01,1.1317,1.14241,1.1311,1.14042
1662,2018-10-31,1.13429,1.13604,1.13,1.13168
1663,2018-10-30,1.13728,1.13879,1.1337,1.13428
1664,2018-10-29,1.1404,1.14164,1.1359,1.13728
1665,2018-10-26,1.1374,1.14212,1.1334,1.14
1666,2018-10-25,1.13989,1.14326,1.1355,1.13738
1667,2018-10-24,1.14688,1.14767,1.1378,1.13989
1668,2018-10-23,1.14656,1.14938,1.1438,1.1469
1669,2018-10-22,1.15116,1.15502,1.1454,1.14655
1670,2018-10-19,1.14557,1.15346,1.1432,1.15129
1671,2018-10-18,1.14984,1.15273,1.1448,1.14554
1672,2018-10-17,1.15742,1.15804,1.1495,1.1497
1673,2018-10-16,1.15837,1.16215,1.1563,1.15736
1674,2018-10-15,1.1551,1.16062,1.1541,1.15836
1675,2018-10-12,1.15921,1.16105,1.1533,1.15585
1676,2018-10-11,1.15352,1.15994,1.1527,1.15921
1677,2018-10-10,1.14951,1.15454,1.1477,1.15355
1678,2018-10-09,1.14926,1.15034,1.1429,1.14952
1679,2018-10-08,1.1525,1.15296,1.1458,1.14922
1680,2018-10-05,1.15164,1.15497,1.1483,1.15229
1681,2018-10-04,1.14836,1.15428,1.1462,1.15163
1682,2018-10-03,1.15507,1.15937,1.1463,1.14836
1683,2018-10-02,1.15757,1.15802,1.1504,1.155
1684,2018-10-01,1.16047,1.16246,1.1562,1.15754
1685,2018-09-28,1.16343,1.16512,1.1569,1.16
1686,2018-09-27,1.1749,1.17571,1.1632,1.16346
1687,2018-09-26,1.17664,1.17979,1.1725,1.1749
1688,2018-09-25,1.17495,1.17925,1.173,1.17662
1689,2018-09-24,1.1746,1.18153,1.1722,1.175
1690,2018-09-21,1.17791,1.18027,1.1731,1.17474
1691,2018-09-20,1.16706,1.17845,1.1668,1.17792
1692,2018-09-19,1.16792,1.17149,1.1649,1.16707
1693,2018-09-18,1.16707,1.17245,1.1651,1.16788
1694,2018-09-17,1.16255,1.16982,1.1617,1.16705
1695,2018-09-14,1.16904,1.17216,1.16186,1.16246
1696,2018-09-13,1.16278,1.1701,1.1607,1.16896
1697,2018-09-12,1.16021,1.16497,1.1568,1.16275
1698,2018-09-11,1.15943,1.16443,1.1564,1.1602
1699,2018-09-10,1.15551,1.16161,1.1525,1.15944
1700,2018-09-07,1.16245,1.16495,1.1549,1.15521
1701,2018-09-06,1.16323,1.16593,1.1604,1.1624
1702,2018-09-05,1.15829,1.16403,1.1542,1.16323
1703,2018-09-04,1.1617,1.16175,1.1529,1.1583
1704,2018-09-03,1.15974,1.16279,1.1588,1.1617
1705,2018-08-31,1.16629,1.16901,1.1583,1.1599
1706,2018-08-30,1.17063,1.17182,1.1639,1.16628
1707,2018-08-29,1.1695,1.17102,1.1651,1.17062
1708,2018-08-28,1.16805,1.17335,1.1661,1.16932
1709,2018-08-27,1.16281,1.16937,1.1593,1.16804
1710,2018-08-24,1.15401,1.16399,1.1537,1.1621
1711,2018-08-23,1.15969,1.15976,1.1528,1.15401
1712,2018-08-22,1.1574,1.16229,1.1552,1.15968
1713,2018-08-21,1.14918,1.16012,1.1484,1.15744
1714,2018-08-20,1.14377,1.14922,1.1393,1.14918
1715,2018-08-17,1.13736,1.14449,1.1364,1.1437
1716,2018-08-16,1.13453,1.14092,1.1334,1.13737
1717,2018-08-15,1.13496,1.1355,1.13,1.13455
1718,2018-08-14,1.1405,1.14294,1.1329,1.13496
1719,2018-08-13,1.1398,1.14329,1.1364,1.14049
1720,2018-08-10,1.15205,1.15366,1.1386,1.14115
1721,2018-08-09,1.16117,1.16195,1.1518,1.15204
1722,2018-08-08,1.15997,1.16282,1.1571,1.16119
1723,2018-08-07,1.15564,1.16082,1.1549,1.15997
1724,2018-08-06,1.15608,1.15704,1.1528,1.15564
1725,2018-08-03,1.1586,1.16107,1.1559,1.1565
1726,2018-08-02,1.16627,1.16676,1.158,1.15854
1727,2018-08-01,1.16863,1.16996,1.1656,1.16629
1728,2018-07-31,1.17078,1.17459,1.16822,1.16865
1729,2018-07-30,1.166,1.172,1.1646,1.1708
1730,2018-07-27,1.16414,1.16644,1.1619,1.1659
1731,2018-07-26,1.17311,1.17436,1.1636,1.16413
1732,2018-07-25,1.16816,1.17387,1.1663,1.17312
1733,2018-07-24,1.16915,1.17169,1.1653,1.16815
1734,2018-07-23,1.17338,1.17512,1.1682,1.16914
1735,2018-07-20,1.16452,1.17389,1.1625,1.1718
1736,2018-07-19,1.16435,1.16785,1.1574,1.1644
1737,2018-07-18,1.16578,1.1665,1.16,1.16434
1738,2018-07-17,1.17103,1.17447,1.1649,1.16579
1739,2018-07-16,1.16828,1.17254,1.1674,1.17102
1740,2018-07-13,1.16637,1.16868,1.1611,1.16843
1741,2018-07-12,1.16758,1.16958,1.1648,1.16637
1742,2018-07-11,1.17357,1.176,1.1664,1.16757
1743,2018-07-10,1.175,1.17627,1.1689,1.17357
1744,2018-07-09,1.17499,1.17908,1.1731,1.17491
1745,2018-07-06,1.16907,1.17678,1.1679,1.17462
1746,2018-07-05,1.16588,1.17203,1.1648,1.16911
1747,2018-07-04,1.16596,1.16818,1.1628,1.1659
1748,2018-07-03,1.16395,1.16732,1.1619,1.16587
1749,2018-07-02,1.16736,1.16824,1.159,1.1639
1750,2018-06-29,1.1564,1.16904,1.156,1.16839
1751,2018-06-28,1.15594,1.16007,1.1526,1.15644
1752,2018-06-27,1.165,1.16722,1.1539,1.15596
1753,2018-06-26,1.17022,1.17205,1.1634,1.16497
1754,2018-06-25,1.16689,1.17131,1.1627,1.1702
1755,2018-06-22,1.16097,1.1675,1.1598,1.16536
1756,2018-06-21,1.1575,1.16335,1.1507,1.16095
1757,2018-06-20,1.15882,1.16,1.1536,1.15765
1758,2018-06-19,1.16212,1.16445,1.153,1.15884
1759,2018-06-18,1.15945,1.1627,1.1564,1.16212
1760,2018-06-15,1.15835,1.1627,1.1542,1.1609
1761,2018-06-14,1.17988,1.18518,1.1562,1.1582
1762,2018-06-13,1.17458,1.18027,1.17246,1.17987
1763,2018-06-12,1.17748,1.181,1.1732,1.17457
1764,2018-06-11,1.17715,1.18206,1.1769,1.1775
1765,2018-06-08,1.17969,1.18103,1.1725,1.17677
1766,2018-06-07,1.17816,1.184,1.1777,1.17969
1767,2018-06-06,1.17203,1.17957,1.1711,1.17815
1768,2018-06-05,1.16991,1.17321,1.1651,1.17203
1769,2018-06-04,1.16623,1.17445,1.1661,1.16991
1770,2018-06-01,1.17049,1.17179,1.16161,1.16588
1771,2018-05-31,1.16647,1.17243,1.164,1.17048
1772,2018-05-30,1.15407,1.16764,1.1517,1.1664
1773,2018-05-29,1.16262,1.164,1.1509,1.15409
1774,2018-05-28,1.16888,1.173,1.1605,1.16264
1775,2018-05-25,1.17212,1.17336,1.1644,1.165
1776,2018-05-24,1.17048,1.17503,1.1689,1.17214
1777,2018-05-23,1.17824,1.17897,1.1674,1.1704
1778,2018-05-22,1.17952,1.183,1.1755,1.17822
1779,2018-05-21,1.17664,1.17967,1.1715,1.17953
1780,2018-05-18,1.17969,1.18221,1.1749,1.17699
