Date,Adjusted Close,EMA,Open,High,Low,Close,Effective_Fed_Rate,MACD,MACD_Signal,MACD_Hist,RSI,SMA
2019-03-28,110.450150420202,110.4504,1.12493,1.12613,1.1212,1.12281,2.41,2.3493,2.3235,0.0258,59.8485,110.9064
2019-03-27,110.299017057787,110.3434,1.12755,1.12856,1.1241,1.12493,2.41,2.4527,2.317,0.1357,62.0644,110.6325
2019-03-26,111.375842264996,110.1202,1.13144,1.1326,1.1261,1.12752,2.4,2.5067,2.2831,0.2237,65.7491,110.2782
2019-03-25,111.139696386222,109.6922,1.12954,1.13316,1.1288,1.13144,2.4,2.468,2.2272,0.2409,59.7643,109.7304
2019-03-22,110.563500442014,109.6014,1.13766,1.13907,1.1272,1.13,2.41,2.5809,2.1669,0.4139,77.0594,109.2042
2019-03-21,113.557830184869,108.8733,1.14212,1.14374,1.1341,1.1375,2.41,2.4046,2.0635,0.3411,70.9955,108.2275
2019-03-20,111.007454694109,108.4789,1.13535,1.14482,1.1334,1.14202,2.41,2.3716,1.9782,0.3934,72.8309,107.6854
2019-03-19,111.130250551071,107.9442,1.13351,1.13617,1.1332,1.13534,2.4,2.2709,1.8798,0.3911,77.9064,107.1639
2019-03-18,111.054683869864,107.1439,1.13264,1.1359,1.1317,1.13344,2.4,2.0421,1.7821,0.26,73.3159,106.6123
2019-03-15,109.486675234804,106.5687,1.13059,1.13444,1.1299,1.1324,2.4,1.905,1.7171,0.1879,70.9691,106.3148
2019-03-14,108.239824994877,106.0399,1.13372,1.1338,1.1293,1.13056,2.4,1.7821,1.6701,0.112,68.5713,106.0833
2019-03-13,108.154812478518,105.5615,1.12897,1.13386,1.1276,1.13372,2.4,1.6762,1.6421,0.0341,67.3266,105.8472
2019-03-12,107.323578985234,105.0629,1.12633,1.13049,1.1248,1.12894,2.4,1.5562,1.6336,-0.0774,63.1272,105.6167
2019-03-11,106.577358008307,104.7284,1.12342,1.12738,1.122,1.1263,2.4,1.5063,1.6529,-0.1466,56.0207,105.4694
2019-03-08,104.385924253284,104.7038,1.11911,1.12462,1.1184,1.12347,2.4,1.5967,1.6896,-0.0929,46.7911,105.5421
2019-03-07,104.272574231473,105.0578,1.13079,1.13202,1.1175,1.11909,2.4,1.865,1.7128,0.1521,60.8618,105.6262
2019-03-06,105.557207812004,105.0203,1.1299,1.13246,1.1284,1.1308,2.4,1.9647,1.6748,0.29,64.526,105.2011
2019-03-05,105.509978636249,104.8758,1.13354,1.1339,1.1288,1.12988,2.4,2.0183,1.6023,0.416,67.4824,104.8223
2019-03-04,106.038945404703,104.6194,1.1377,1.13815,1.1308,1.13355,2.4,2.0208,1.4983,0.5225,73.6349,104.3575
2019-03-01,106.293982953779,104.1444,1.13709,1.14087,1.135,1.1362,2.4,1.9205,1.3677,0.5528,73.2645,103.8313
2019-02-28,105.821691196231,103.5912,1.1372,1.14197,1.1357,1.13709,2.4,1.7771,1.2295,0.5476,70.8552,103.1668
2019-02-27,105.953932888344,103.0934,1.13928,1.14036,1.1361,1.1372,2.4,1.6499,1.0926,0.5573,69.8482,102.6946
2019-02-26,106.133403756212,102.5585,1.13593,1.14028,1.1344,1.13928,2.4,1.4972,0.9532,0.544,68.6506,102.1274
2019-02-25,105.406074449588,101.995,1.1336,1.13676,1.1333,1.13593,2.4,1.3219,0.8172,0.5047,71.628,101.6066
2019-02-22,104.820432670228,101.2012,1.13361,1.13557,1.1315,1.13344,2.4,1.0309,0.6911,0.3398,67.257,100.8683
2019-02-21,103.346882386678,100.5901,1.13452,1.13664,1.1319,1.1336,2.4,0.8089,0.6061,0.2028,56.0252,100.3668
2019-02-20,101.212123642561,100.5043,1.13385,1.13713,1.1324,1.13448,2.4,0.8168,0.5554,0.2614,61.844,100.333
2019-02-19,101.738829239065,100.198,1.13097,1.13576,1.1274,1.13388,2.4,0.7226,0.4901,0.2325,59.7646,100.1202
2019-02-15,101.785856524467,99.935,1.12942,1.13062,1.1233,1.1294,2.4,0.6429,0.4319,0.2109,60.4319,99.6574
2019-02-14,100.54433618985,99.5885,1.12565,1.131,1.1248,1.12945,2.4,0.5203,0.3792,0.1411,54.3105,99.269
2019-02-13,100.459687076126,99.4995,1.13288,1.13416,1.1247,1.12561,2.4,0.5095,0.3439,0.1656,60.5843,99.0329
2019-02-12,100.53493073277,99.1418,1.12767,1.13397,1.1256,1.13292,2.4,0.3744,0.3025,0.0719,55.2696,98.762
2019-02-11,98.9924357715783,98.989,1.13181,1.133,1.1265,1.1277,2.4,0.3267,0.2846,0.0422,55.5671,98.6435
2019-02-08,99.3874649689565,98.7897,1.13419,1.13509,1.1317,1.1321,2.4,0.2554,0.274,-0.0187,47.9622,98.6491
2019-02-07,99.0112466857391,98.9244,1.13665,1.13685,1.1323,1.13419,2.4,0.3339,0.2787,0.0552,51.4662,98.9172
2019-02-06,99.7260614238522,98.9218,1.14046,1.14095,1.1359,1.13676,2.4,0.3527,0.2649,0.0878,60.4604,99.0743
2019-02-05,100.845310816424,98.5404,1.14347,1.14405,1.14,1.1404,2.4,0.1982,0.2429,-0.0447,56.9434,98.9915
2019-02-04,99.4533031685196,98.2706,1.14555,1.14604,1.1422,1.14349,2.4,0.0881,0.2541,-0.166,40.883,99.0564
2019-02-01,96.6692878727108,98.6077,1.14459,1.14885,1.1433,1.14537,2.4,0.2519,0.2956,-0.0437,45.2128,99.4881
2019-01-31,98.2211882909826,98.8294,1.14802,1.15143,1.1434,1.14459,2.4,0.3701,0.3066,0.0635,45.3077,99.6028
2019-01-30,100.055252421667,99.0963,1.14347,1.15017,1.1405,1.148,2.4,0.5136,0.2907,0.2229,49.1122,99.7402
2019-01-29,96.8197751859978,99.251,1.14273,1.14502,1.141,1.1434,2.4,0.6108,0.2349,0.3759,50.3179,99.5417
2019-01-28,98.8325430012109,99.3858,1.14086,1.14437,1.1389,1.14273,2.4,0.7012,0.141,0.5602,57.0027,99.2614
2019-01-25,100.798283531022,99.2621,1.13014,1.14176,1.13,1.1405,2.4,0.6741,0.0009,0.6731,62.292,98.9727
2019-01-24,99.8859541942196,98.9061,1.13797,1.13914,1.1288,1.13013,2.4,0.5358,-0.1674,0.7032,61.0301,98.5946
2019-01-23,100.365632505322,98.5504,1.13626,1.13944,1.1349,1.13797,2.4,0.388,-0.3432,0.7312,58.602,98.3124
2019-01-22,99.396870426037,98.2703,1.13697,1.1374,1.1335,1.13626,2.4,0.2646,-0.526,0.7905,61.5399,98.0227
2019-01-18,101.306178213365,97.7964,1.13875,1.14104,1.1352,1.136,2.4,0.0428,-0.7236,0.7664,64.8369,97.5421
2019-01-17,99.8107105375761,97.0686,1.13951,1.1407,1.1369,1.13873,2.4,-0.3089,-0.9152,0.6063,57.7843,96.8141
2019-01-16,99.1147067136239,96.6934,1.14058,1.14248,1.1376,1.13946,2.4,-0.5176,-1.0668,0.5491,58.9082,96.3533
2019-01-15,98.7667048016478,96.1804,1.14664,1.14897,1.138,1.14057,2.4,-0.8015,-1.2041,0.4026,49.5716,95.8162
2019-01-14,95.9826895058391,96.1282,1.14646,1.14821,1.1449,1.14659,2.4,-0.8888,-1.3047,0.4159,47.1756,95.7015
2019-01-11,96.6880987868717,96.1919,1.14972,1.15406,1.1456,1.1464,2.4,-0.9288,-1.4087,0.4799,51.866,95.7193
