Date,AMZN_Adjusted Close,AMZN_EMA,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Effective_Fed_Rate,AMZN_MACD,AMZN_MACD_Signal,AMZN_MACD_Hist,AMZN_RSI,AMZN_SMA,AAPL_Adjusted Close,AAPL_EMA,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Effective_Fed_Rate,AAPL_MACD,AAPL_MACD_Signal,AAPL_MACD_Hist,AAPL_RSI,AAPL_SMA,MSFT_Adjusted Close,MSFT_EMA,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Effective_Fed_Rate,MSFT_MACD,MSFT_MACD_Signal,MSFT_MACD_Hist,MSFT_RSI,MSFT_SMA
2022-08-18,142.3,140.6299,1.01756,1.0193,1.0079,1.00866,2.33,6.6746,6.731,-0.0564,62.9954,141.9727,171.8680312514,167.0535,1.01756,1.0193,1.0079,1.00866,2.33,6.4037,5.8558,0.5478,78.0877,166.9809,284.133544130923,280.4303,1.01756,1.0193,1.0079,1.00866,2.33,7.3897,6.5183,0.8715,67.9106,280.8717
2022-08-17,142.1,140.4765,1.01678,1.0203,1.0144,1.0176,2.33,7.0398,6.7451,0.2946,67.0856,141.8987,172.262789864668,166.0713,1.01678,1.0203,1.0144,1.0176,2.33,6.3561,5.7189,0.6372,76.8318,166.1938,285.259620485304,279.6032,1.01678,1.0203,1.0144,1.0176,2.33,7.4672,6.3004,1.1668,67.4115,279.9917
2022-08-16,144.78,139.9846,1.01595,1.01949,1.0121,1.01673,2.33,7.264,6.6715,0.5925,70.7523,141.2507,170.762707134251,165.0858,1.01595,1.01949,1.0121,1.01673,2.33,6.3015,5.5596,0.7419,76.8723,164.9944,286.012000795551,278.69,1.01595,1.01949,1.0121,1.01673,2.33,7.5022,6.0087,1.4935,71.0207,278.6631
2022-08-15,143.18,139.1134,1.02587,1.02683,1.0153,1.01599,2.33,7.3207,6.5234,0.7974,69.3826,140.3322,170.920610579558,163.8791,1.02587,1.02683,1.0153,1.01599,2.33,6.139,5.3741,0.7649,75.4034,163.7211,286.754609932939,277.2192,1.02587,1.02683,1.0153,1.01599,2.33,7.2753,5.6353,1.64,70.1489,277.1007
2022-08-12,143.55,138.2941,1.03227,1.03274,1.0237,1.0258,2.33,7.3992,6.324,1.0752,68.4809,139.5482,169.844893358403,162.6806,1.03227,1.03274,1.0237,1.0258,2.33,5.969,5.1829,0.7861,73.3479,162.6618,285.230306966723,275.6366,1.03227,1.03274,1.0237,1.0258,2.33,6.9784,5.2254,1.753,67.9392,275.8129
2022-08-11,140.64,137.4595,1.02988,1.03644,1.0274,1.03205,2.33,7.4681,6.0552,1.4129,73.1607,138.8332,166.282196873663,161.5886,1.02988,1.03644,1.0274,1.03205,2.33,5.836,4.9863,0.8497,74.135,161.7929,280.452203438008,274.2494,1.02988,1.03644,1.0274,1.03205,2.33,6.7486,4.7871,1.9615,72.4805,274.7595
2022-08-10,142.69,136.0372,1.02125,1.03687,1.02,1.02976,2.33,7.2631,5.702,1.5612,72.2557,136.6042,167.02236927354,160.2012,1.02125,1.03687,1.02,1.02976,2.33,5.5572,4.7739,0.7833,71.3951,160.4805,282.543234430124,272.0394,1.02125,1.03687,1.02,1.02976,2.33,6.1213,4.2967,1.8246,70.4717,272.6978
2022-08-09,137.83,134.5121,1.01927,1.02475,1.0187,1.02137,2.33,6.9936,5.3117,1.6819,67.2338,134.0452,162.758976250249,159.0275,1.01927,1.02475,1.0187,1.02137,2.33,5.3597,4.5781,0.7816,66.4808,158.9694,275.840209847918,269.9201,1.01927,1.02475,1.0187,1.02137,2.33,5.4982,3.8406,1.6577,62.6652,270.0586
2022-08-08,139.41,133.7255,1.01783,1.0222,1.0157,1.0193,2.33,7.0415,4.8912,2.1503,77.6679,131.819,162.709631423591,158.3957,1.01783,1.0222,1.0157,1.0193,2.33,5.3975,4.3827,1.0148,73.8084,157.7884,273.905517621567,269.1821,1.01783,1.0222,1.0157,1.0193,2.33,5.4717,3.4262,2.0455,71.4551,268.1259
2022-08-05,140.8,131.8756,1.02457,1.0252,1.014,1.0181,2.33,6.5932,4.3536,2.2395,76.0353,129.8835,163.183341759512,157.1081,1.02457,1.0252,1.014,1.0181,2.33,5.131,4.129,1.002,69.7769,156.5475,276.4362513924,267.3226,1.02457,1.0252,1.014,1.0181,2.33,4.9194,2.9148,2.0046,66.7979,265.8731
